time,CA_130 PINN,CB,CC_130 PINN,CD_130 PINN
3.580000000000000071e+00,2.856569886207580566e-01,1.297762870788574219e+00,2.036472409963607788e-01,3.111563622951507568e-03
3.589999999999999858e+00,2.851850688457489014e-01,1.297366976737976074e+00,2.041029036045074463e-01,3.124406561255455017e-03
3.600000000000000089e+00,2.847138643264770508e-01,1.296972274780273438e+00,2.045576274394989014e-01,3.137267194688320160e-03
3.609999999999999876e+00,2.842429578304290771e-01,1.296578049659729004e+00,2.050113976001739502e-01,3.150071017444133759e-03
3.620000000000000107e+00,2.837726771831512451e-01,1.296184778213500977e+00,2.054642587900161743e-01,3.162825480103492737e-03
3.629999999999999893e+00,2.833030819892883301e-01,1.295792222023010254e+00,2.059161812067031860e-01,3.175579942762851715e-03
3.640000000000000124e+00,2.828336358070373535e-01,1.295400381088256836e+00,2.063671797513961792e-01,3.188227303326129913e-03
3.649999999999999911e+00,2.823651731014251709e-01,1.295009613037109375e+00,2.068171948194503784e-01,3.201078623533248901e-03
3.660000000000000142e+00,2.818971276283264160e-01,1.294619560241699219e+00,2.072664350271224976e-01,3.213849849998950958e-03
3.669999999999999929e+00,2.814296782016754150e-01,1.294230341911315918e+00,2.077146321535110474e-01,3.226542845368385315e-03
3.680000000000000160e+00,2.809627056121826172e-01,1.293841719627380371e+00,2.081618607044219971e-01,3.239205107092857361e-03
3.689999999999999947e+00,2.804962396621704102e-01,1.293453812599182129e+00,2.086083889007568359e-01,3.252057358622550964e-03
3.700000000000000178e+00,2.800306081771850586e-01,1.293067097663879395e+00,2.090536952018737793e-01,3.264810889959335327e-03
3.709999999999999964e+00,2.795653939247131348e-01,1.292680859565734863e+00,2.094980627298355103e-01,3.277352079749107361e-03
3.720000000000000195e+00,2.791007459163665771e-01,1.292295694351196289e+00,2.099416404962539673e-01,3.290122374892234802e-03
3.729999999999999982e+00,2.786366343498229980e-01,1.291911244392395020e+00,2.103841602802276611e-01,3.302774392068386078e-03
3.740000000000000213e+00,2.781732678413391113e-01,1.291527509689331055e+00,2.108257114887237549e-01,3.315495327115058899e-03
3.750000000000000000e+00,2.777101993560791016e-01,1.291144251823425293e+00,2.112663686275482178e-01,3.328133374452590942e-03
3.760000000000000231e+00,2.772479057312011719e-01,1.290762305259704590e+00,2.117060273885726929e-01,3.340701572597026825e-03
3.770000000000000018e+00,2.767863273620605469e-01,1.290381193161010742e+00,2.121447771787643433e-01,3.353282809257507324e-03
3.780000000000000249e+00,2.763252854347229004e-01,1.290000796318054199e+00,2.125823348760604858e-01,3.365788608789443970e-03
3.790000000000000036e+00,2.758646309375762939e-01,1.289620876312255859e+00,2.130192965269088745e-01,3.378471359610557556e-03
3.800000000000000266e+00,2.754048705101013184e-01,1.289242029190063477e+00,2.134551554918289185e-01,3.391135483980178833e-03
3.810000000000000053e+00,2.749452590942382812e-01,1.288863420486450195e+00,2.138901799917221069e-01,3.403605893254280090e-03
3.820000000000000284e+00,2.744866311550140381e-01,1.288486242294311523e+00,2.143239527940750122e-01,3.416053950786590576e-03
